Numero,Tipo,Ementa,Autor,UF,Partido original,Partido atual,Data,Situação,Link
PL 4401/2021 (Nº Anterior: PL 2303/2015),Altera,"Dispõe sobre a inclusão das moedas virtuais e programas de milhagem aéreas na definição de ""arranjos de pagamento"" sob a supervisão do Banco Central

NOVA EMENTA: Dispõe sobre diretrizes a serem observadas na prestação de serviços de ativos virtuais e na regulamentação das prestadoras de serviços de ativos virtuais; altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para prever o crime de fraude com a utilização de ativos virtuais, valores mobiliários ou ativos financeiros; e altera a Lei nº 7.492, de 16 de junho de 1986, que define crimes contra o sistema financeiro nacional, e a Lei nº 9.613, de 3 de março de 1998, que dispõe sobre lavagem de dinheiro, para incluir as prestadoras de serviços de ativos virtuais no rol de suas disposições.",Aureo Ribeiro,RJ,SD,SD,jul.15,Transformado em Norma Jurídica,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=1555470
PL 4797/2019,"Normativa, diretriz",Dispõe sobre a Prestação Digital dos Serviços Públicos na Administração Pública.,Professor Israel Batista,DF,PV,PV,set.19,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2218208
PL 3443/2019,"Normativa, diretriz",Dispõe sobre a Prestação Digital dos Serviços Públicos na Administração Pública - Governo Digital.,Tiago Mitraud;Vinicius Poit;João H. Campos;Luisa Canziani;Marcelo Calero;Mariana Carvalho;Paulo Ganime;Professor Israel Batista;Rodrigo Coelho,MG;SP;PE;PR;RJ;RO;RJ;DF;SC,NOVO;NOVO;PSB;PTB;CIDADANIA;PSDB;NOVO;PV;PSB,NOVO;NOVO;PSB;PTB;CIDADANIA;PSDB;NOVO;PV;PSB,set.19,Arquivada,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2207511
PL 3119/2020,Altera,"Altera a Lei nº 12.965, de 23 de abril de 2014, para estabelecer procedimentos para a remoção ou redução do alcance de conteúdos e perfis por provedores de aplicações de internet.  ",Mário Negromonte Jr.,BA,PP,PP,jun.20,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2254496
PL 2630/2020,Institui,"Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet.

",Senado Federal - Alessandro Vieira,SE,CIDADANIA,CIDADANIA,jul.20,Aguardando Definição Encaminhamento,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2256735
PL 21/2020,"Direitos, deveres","Estabelece princípios, direitos e deveres para o uso de inteligência artificial no Brasil, e dá outras providências.

NOVA EMENTA: Estabelece fundamentos, princípios e diretrizes para o desenvolvimento e a aplicação da inteligência artificial no Brasil; e dá outras providências.",Eduardo Bismarck,CE,PDT,PDT,fev.20,Aguardando Apreciação pelo Senado Federal,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2236340
PL 2427/2020,"Normativa, diretriz",Institui a Política Nacional de Incentivo à Motorização Elétrica Agrícola.,Marcelo Brum,RS,PSL,UNIÃO,mai.20,Aguardando Designação de Relator(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251839
PL 5114/2020,Cria,Cria mecanismos para coibir a violência e a discriminação política de gênero contra a mulher e dá outras providências. ,Rejane Dias,PI,PT,PT,nov.20,Retirado pelo(a) Autor(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265052
PL 4120/2020,"Normativa, diretriz","Disciplina o uso de algoritmos pelas plataformas digitais na internet, assegurando transparência no uso das ferramentas computacionais que possam induzir a tomada de decisão ou atuar sobre as preferências dos usuários.",Bosco Costa,SE,PL,PL,ago.20,Arquivada,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2259721
PL 4513/2020,Altera,"Institui a Política Nacional de Educação Digital e insere dispositivos no art. 4º da Lei nº 9.394, de 1996, de diretrizes e bases da
educação nacional.

NOVA EMENTA: Institui a Política Nacional de Educação Digital; altera as Leis nºs 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), 9.448, de 14 de março de 1997, 10.260, de 12 de julho de 2001, e 10.753, de 30 de outubro de 2003; e dá outras providências.",Angela Amin,SC,PP,PP,set.20,Transformado em Norma Jurídica,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2262422
PL 5136/2020,Cria,Cria mecanismos para coibir a violência e a discriminação política contra a mulher e dá outras providências. ,Rejane Dias,PI,PT,PT,nov.20,Arquivada,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265119
PL 240/2020,Cria,"Cria a Lei da Inteligência Artificial, e dá outras providências. ",Léo Moraes,RO,PODE,PODE,fev.20,Arquivada,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2236943
PL 595/2020,"Direitos, deveres",Assegura os direitos dos consumidores quando do cancelamento total ou parcial dos contratos de prestação dos serviços de telecomunicações e dá outras providências,João Maia,RN,PL,PL,mar.20,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2238702
PL 2576/2020,Institui,"Estabelece obrigação de divulgação pela União, em sítio eletrônico específico, de Cadastro Nacional de Pessoas Desaparecidas e dá outras providências.",Amaro Neto,ES,REPUBLIC,REPUBLIC,mai.20,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2252271
PL 3042/2021,Altera,"Dispõe sobre a prorrogação do prazo de vigência de incentivos do Programa de Apoio ao Desenvolvimento Tecnológico da Indústria de Semicondutores - PADIS, instituído pela Lei nº 11.484, de 31 de maio de 2007, e dá outras providências. 

NOVA EMENTA: Altera a Lei nº 11.484, de 31 de maio de 2007, para dispor sobre a prorrogação do prazo de vigência de incentivos do Programa de Apoio ao Desenvolvimento Tecnológico da Indústria de Semicondutores (Padis); e dá outras providências.",Vitor Lippi;Bilac Pinto;Danilo Forte;Pedro Vilela;Giovani Cherini;Marx Beltrão;Daniel Freitas;Isnaldo Bulhões Jr.;Sergio Toledo;Marcos Pereira,SP;MG;CE;AL;RS;AL;SC;AL;AL;SP,PSDB;DEM;PSDB;PSDB;PL;PSD;PSL;MDB;PL;REPUBLIC,PSDB;DEM;PSDB;PSDB;PL;PSD;PSL;MDB;PL;REPUBLIC,set.21,Transformado em Norma Jurídica,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2297078
PL 748/2021,Cria,"Dispõe sobre O PROGRAMA VOLUNTÁRIO DE TELEMEDICINA - TELEVIVIDAS, em caráter excepcional e temporário, com a finalidade de regular e operacionalizar medidas de atendimento médico virtual para enfrentamento da emergência de saúde pública de importância internacional, decorrente da epidemia de COVID-19 (2019-nCoV).	",Gervásio Maia,PB,PSB,PSB,mar.21,Devolvida ao(à) Autor(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2272160
PL 1231/2021,"Normativa, diretriz","Dispõe sobre a priorização de cobertura de serviços de telecomunicações com mobilidade em universidades públicas e hospitais universitários, e institui gratuidade no acesso a dados e voz para pesquisadores de universidades públicas e de hospitais universitários.",Aliel Machado,PR,PSB,PSB,abr.21,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2276612
